passenger_count,trip_distance,PULocationID,DOLocationID,trip_duration,fare_amount
1,3.59,116,151,28.266666666666666,19.0
1,2.52,94,47,14.066666666666666,13.0
1,8.78,24,138,26.2,28.0
2,0.92,129,129,4.3,10.0
1,2.15,166,116,16.216666666666665,11.5
1,2.83,247,47,19.35,12.0
1,3.9,75,48,18.833333333333332,15.5
1,1.2,166,74,7.566666666666666,7.0
1,1.81,74,263,10.15,9.0
1,4.35,97,89,26.866666666666667,20.0
2,8.72,7,170,21.45,26.5
1,2.86,65,225,13.9,12.0
2,3.7,82,258,20.266666666666666,16.0
1,1.89,74,263,9.4,9.0
1,4.45,112,225,23.483333333333334,17.5
3,4.3,65,255,26.433333333333334,19.0
1,1.71,236,237,9.416666666666666,9.0
1,0.42,75,236,4.85,3.5
1,2.9,65,188,16.65,13.0
1,1.95,74,166,12.733333333333333,10.0
1,3.18,74,244,22.383333333333333,16.0
1,0.54,166,152,2.6666666666666665,4.0
1,26.13,265,41,37.75,71.0
1,2.3,41,142,11.833333333333334,11.0
1,2.71,74,237,10.45,10.5
1,1.02,74,41,6.033333333333333,6.0
1,10.1,218,82,35.11666666666667,33.0
1,3.77,41,230,11.6,12.5
1,1.6,75,239,7.65,7.5
1,3.65,75,233,10.266666666666667,13.0
1,1.62,69,167,11.916666666666666,9.0
1,0.76,75,75,5.266666666666667,5.5
1,1.83,97,66,10.3,9.0
1,0.55,42,42,1.8666666666666667,3.5
1,16.28,197,169,48.55,50.5
1,9.96,51,243,38.31666666666667,34.0
1,1.9,134,196,13.5,11.0
1,0.91,25,97,7.983333333333333,6.5
1,0.93,41,42,5.116666666666666,5.5
1,2.26,74,236,12.533333333333333,10.0
1,1.05,41,74,5.4,5.5
1,1.47,74,41,7.4,7.5
1,1.49,69,167,9.5,8.0
1,8.81,133,112,32.733333333333334,30.0
1,4.49,24,164,22.633333333333333,18.0
1,3.68,129,138,7.7,12.0
4,2.66,74,244,9.833333333333334,10.0
1,0.26,42,264,2.1333333333333333,3.0
1,0.62,75,75,5.633333333333334,5.5
1,1.81,75,239,9.216666666666667,8.5
1,1.03,41,166,4.683333333333334,5.5
1,2.06,65,33,13.466666666666667,11.0
1,6.53,35,197,27.116666666666667,25.5
1,1.5,43,262,8.766666666666667,7.5
1,0.6,129,129,4.416666666666667,5.0
1,0.01,25,25,0.4,20.0
1,0.78,25,25,4.083333333333333,5.0
1,20.26,14,118,93.81666666666666,83.0
1,6.54,97,76,30.033333333333335,24.0
1,5.5,65,68,33.2,24.0
2,1.22,75,238,6.9,7.0
1,1.59,75,168,5.533333333333333,7.0
2,1.81,65,61,10.716666666666667,9.0
2,1.0,43,263,6.55,6.5
1,2.72,42,151,19.416666666666668,13.0
1,0.02,41,41,0.13333333333333333,8.0
1,0.45,33,33,3.183333333333333,4.0
1,2.83,74,141,6.9,9.5
1,1.41,74,75,7.233333333333333,7.0
1,1.56,236,74,6.166666666666667,6.5
2,3.02,97,225,21.3,15.0
1,1.58,95,95,8.583333333333334,8.0
1,0.42,75,74,1.2333333333333334,3.5
1,2.7,26,22,16.883333333333333,13.0
1,1.91,75,237,21.383333333333333,14.0
1,2.86,33,17,17.833333333333332,13.5
1,1.7,129,7,9.7,8.5
1,0.5,24,151,2.816666666666667,4.0
1,2.91,166,236,13.533333333333333,12.0
1,1.13,97,40,8.633333333333333,7.5
1,1.82,75,42,8.516666666666667,8.0
1,2.49,236,140,9.85,10.5
1,2.29,95,56,20.066666666666666,14.0
6,0.22,43,43,0.7,3.0
1,0.8,65,25,7.033333333333333,6.5
1,2.6,75,163,14.416666666666666,12.0
1,10.08,129,125,58.21666666666667,43.0
1,0.23,181,181,1.6333333333333333,14.18
6,2.68,75,152,13.233333333333333,11.5
1,1.43,74,43,17.15,11.5
1,1.54,42,42,9.366666666666667,8.0
1,1.32,74,75,7.85,7.0
1,1.68,41,42,6.716666666666667,8.0
2,15.87,212,36,45.71666666666667,51.0
2,1.52,75,74,6.266666666666667,7.0
1,1.5,166,74,13.15,9.5
1,1.23,181,181,9.1,5.5
1,0.64,95,95,2.45,4.0
1,0.45,75,75,6.45,6.0
2,2.97,196,157,15.416666666666666,12.5
1,7.81,7,37,19.066666666666666,23.5
1,0.84,75,41,4.983333333333333,5.5
1,1.71,74,75,13.766666666666667,10.5
1,12.13,197,202,32.7,37.0
1,1.73,74,159,11.183333333333334,9.5
1,3.0,24,262,15.8,13.0
1,1.55,75,151,8.2,8.0
1,1.69,52,106,7.3,7.5
1,1.16,74,75,6.033333333333333,6.5
1,0.96,74,41,7.266666666666667,6.5
1,1.29,75,238,4.433333333333334,6.0
1,19.84,183,127,88.23333333333333,79.0
1,0.94,75,236,4.816666666666666,5.5
1,5.03,7,173,17.65,18.0
3,2.7,74,238,14.683333333333334,12.0
1,1.83,74,166,11.516666666666667,9.5
1,4.04,33,188,23.333333333333332,17.5
1,1.74,82,56,14.633333333333333,10.5
1,1.1,42,152,7.683333333333334,6.5
1,3.4,244,244,0.2,2.5
2,0.97,74,74,6.833333333333333,6.5
4,0.8,82,196,5.25,5.5
1,11.93,75,95,43.0,38.0
1,3.27,52,261,11.6,11.5
1,1.2,181,181,11.383333333333333,8.5
1,3.51,166,236,20.6,16.0
1,19.16,132,127,50.766666666666666,57.5
1,1.09,226,226,11.633333333333333,8.5
1,1.26,75,262,13.133333333333333,9.5
1,15.49,157,173,80.18333333333334,61.5
1,1.81,97,181,32.85,20.0
1,0.84,95,95,5.116666666666666,5.5
1,1.06,42,41,6.6,6.5
1,5.3,95,129,19.966666666666665,19.5
1,6.1,95,53,20.183333333333334,20.0
1,3.25,75,143,17.15,14.0
1,0.8,25,25,5.05,5.5
1,0.34,135,135,1.25,15.3
6,1.37,168,168,9.25,8.0
1,1.05,25,66,11.783333333333333,9.0
1,2.57,74,159,9.383333333333333,10.0
1,7.67,75,231,34.65,28.5
2,3.11,74,238,12.3,11.5
1,4.36,43,100,35.36666666666667,23.5
1,0.77,41,75,4.516666666666667,5.0
6,1.62,75,263,11.866666666666667,9.5
1,3.9,33,234,17.183333333333334,14.5
1,0.65,166,41,4.033333333333333,4.5
1,1.02,17,17,5.666666666666667,6.0
1,0.69,129,129,3.8666666666666667,5.0
1,0.66,116,152,4.183333333333334,5.0
1,1.76,43,41,11.483333333333333,9.0
1,1.49,74,42,9.533333333333333,8.5
2,1.79,97,33,13.916666666666666,10.5
1,2.86,24,163,18.85,14.5
1,2.79,166,141,13.133333333333333,11.5
1,4.13,244,24,15.35,15.5
1,0.6,41,41,4.983333333333333,5.5
1,1.38,75,74,7.25,7.0
1,5.59,75,120,15.383333333333333,18.5
5,5.76,244,75,20.333333333333332,20.0
1,33.84,5,173,68.18333333333334,91.0
1,1.17,74,42,15.383333333333333,10.5
1,2.6,166,236,12.033333333333333,11.0
1,8.24,95,260,22.1,26.0
5,1.22,129,173,13.416666666666666,9.5
1,1.36,74,75,11.016666666666667,8.5
1,1.61,43,24,8.783333333333333,8.5
1,5.55,97,170,31.95,23.5
1,0.8,74,75,7.35,6.5
1,2.91,243,116,21.183333333333334,15.0
1,4.7,42,48,23.35,18.5
1,33.98,23,212,47.916666666666664,111.11
6,1.44,43,74,13.183333333333334,9.5
1,0.62,74,74,4.233333333333333,5.0
1,3.3,129,70,11.1,12.5
1,1.02,74,75,6.383333333333334,6.0
1,3.99,75,164,17.233333333333334,15.0
1,11.59,134,83,41.03333333333333,38.5
1,2.1,75,140,12.75,10.5
1,5.52,42,143,18.783333333333335,20.0
1,6.89,74,138,11.916666666666666,20.5
2,4.56,97,89,29.583333333333332,21.0
1,3.5,244,220,9.75,12.5
1,6.96,75,232,25.633333333333333,24.5
5,1.39,41,41,13.25,9.5
6,4.2,42,235,13.983333333333333,15.5
2,1.0,78,169,5.716666666666667,6.0
2,25.73,23,75,44.03333333333333,69.5
1,2.22,75,24,14.366666666666667,11.5
1,7.39,260,45,44.11666666666667,31.0
1,0.59,260,260,3.85,4.5
1,2.25,95,130,9.0,9.5
1,11.34,197,117,70.08333333333333,51.0
1,3.34,194,7,12.216666666666667,12.5
2,1.19,75,74,5.516666666666667,6.0
5,1.87,43,74,12.95,9.5
1,4.67,42,236,25.45,19.0
1,1.39,74,74,14.25,10.0
2,1.9,75,74,13.15,10.0
1,0.88,166,166,2.8666666666666667,4.5
1,1.13,41,74,7.416666666666667,7.0
2,0.29,95,95,4.483333333333333,4.5
2,2.79,41,236,16.35,12.5
1,6.54,95,61,25.533333333333335,24.0
2,6.29,159,69,38.333333333333336,9.0
1,1.7,75,238,5.233333333333333,7.0
1,2.09,97,61,9.816666666666666,9.5
1,12.78,65,55,44.733333333333334,41.5
1,1.95,75,237,8.35,8.5
1,0.46,235,169,4.133333333333334,4.5
1,1.2,55,55,9.65,8.0
1,1.64,74,75,15.866666666666667,11.5
1,0.9,41,74,5.65,5.5
1,2.16,75,42,9.2,9.0
1,4.51,65,85,30.083333333333332,21.5
1,4.98,74,248,24.65,20.5
2,2.8,152,244,39.18333333333333,23.0
1,0.5,35,61,4.133333333333334,4.5
2,1.38,74,166,9.15,8.0
1,3.01,33,114,16.933333333333334,14.0
1,2.04,42,74,16.35,12.0
1,9.42,263,220,30.816666666666666,26.63
1,2.62,35,61,37.86666666666667,23.0
1,7.21,244,50,16.266666666666666,22.5
1,7.52,95,132,16.316666666666666,22.5
1,0.15,7,193,0.65,2.5
1,3.1,74,42,20.05,14.5
1,4.49,7,164,21.1,17.5
1,1.13,74,43,5.15,6.0
1,0.32,98,98,3.65,4.0
2,3.55,82,28,13.133333333333333,13.0
1,2.17,74,151,12.95,10.5
1,1.5,152,42,7.566666666666666,7.5
1,1.0,75,74,6.433333333333334,6.0
1,2.5,65,61,14.15,11.5
1,4.65,42,136,24.716666666666665,25.0
1,0.96,75,75,3.6166666666666667,5.0
1,1.49,41,75,6.816666666666666,7.0
1,2.2,74,151,11.75,10.5
1,13.52,23,14,28.3,40.0
1,0.01,225,225,0.08333333333333333,50.0
2,3.8,166,230,23.433333333333334,17.5
1,1.82,130,10,8.183333333333334,8.5
5,1.26,75,74,5.783333333333333,6.5
1,7.48,130,36,35.71666666666667,29.5
1,2.68,7,145,13.033333333333333,11.0
1,1.82,21,26,17.733333333333334,12.5
1,4.53,244,74,13.216666666666667,15.5
1,6.9,226,72,61.71666666666667,38.0
1,2.3,129,226,11.116666666666667,10.0
1,2.09,82,56,15.033333333333333,11.0
1,17.34,174,112,11.616666666666667,59.0
1,2.06,74,24,9.633333333333333,9.0
1,15.92,213,197,36.2,48.0
1,1.97,41,69,11.966666666666667,9.5
1,1.72,43,262,13.666666666666666,9.5
1,2.77,75,237,22.4,15.0
1,3.4,244,151,18.883333333333333,15.5
1,1.56,25,189,8.866666666666667,8.0
1,2.19,43,142,11.05,9.5
1,1.71,75,263,8.283333333333333,8.0
1,2.03,82,226,17.016666666666666,12.0
2,1.19,97,97,7.633333333333334,7.0
1,1.23,244,243,6.833333333333333,7.0
1,0.75,75,75,11.533333333333333,8.5
1,1.26,116,42,6.95,7.0
2,5.56,244,239,14.2,18.0
1,1.5,83,129,4.633333333333334,6.5
1,0.88,166,166,5.233333333333333,6.0
1,0.58,43,75,3.8833333333333333,4.5
1,5.94,223,246,26.95,21.5
1,1.77,41,116,11.616666666666667,9.5
1,5.82,260,137,25.466666666666665,21.0
1,0.59,33,52,4.533333333333333,5.0
1,0.6,75,74,2.2333333333333334,4.0
1,2.27,74,263,8.7,9.0
1,1.71,95,82,12.283333333333333,9.5
1,5.32,7,173,30.7,23.5
1,2.19,260,7,15.15,11.0
1,0.87,75,75,4.966666666666667,5.5
1,1.96,130,215,9.183333333333334,9.0
1,1.18,52,25,6.233333333333333,6.0
1,1.11,41,74,7.15,6.5
1,0.66,41,74,7.133333333333334,6.0
5,0.65,74,41,3.3666666666666667,4.5
2,0.41,166,151,2.816666666666667,4.0
1,1.44,25,25,10.1,8.0
1,2.8,74,239,14.016666666666667,11.5
1,0.64,42,41,3.966666666666667,5.0
1,1.57,74,75,12.35,9.5
1,1.67,75,238,9.25,8.5
2,17.09,169,130,50.93333333333333,53.0
1,2.43,74,238,24.45,16.0
1,1.99,75,24,14.366666666666667,11.5
1,1.97,74,238,8.383333333333333,8.5
1,1.38,74,75,7.05,7.0
1,2.1,74,263,13.683333333333334,10.5
1,1.34,116,41,6.933333333333334,7.0
1,4.14,43,137,16.6,15.0
6,1.19,75,263,4.333333333333333,6.0
2,1.82,116,244,12.95,10.5
1,7.94,95,101,14.383333333333333,23.0
1,0.6,41,42,4.65,5.0
1,2.08,33,49,12.233333333333333,10.0
1,1.8,74,166,10.416666666666666,9.0
1,0.34,75,75,1.85,3.5
3,1.39,7,179,10.4,8.0
1,1.21,83,82,9.816666666666666,7.5
1,0.98,42,41,6.833333333333333,6.5
1,7.6,61,62,85.55,51.0
1,3.4,42,238,17.583333333333332,14.5
1,0.57,42,166,4.083333333333333,4.5
1,1.93,247,244,15.4,11.5
1,0.71,41,42,3.8666666666666667,5.0
1,0.12,95,95,0.1,10.0
1,3.1,74,244,20.15,15.0
1,13.2,61,41,59.53333333333333,47.5
1,1.3,17,61,7.7,7.0
1,0.85,41,42,5.9,6.0
1,1.4,75,74,6.883333333333334,7.0
1,1.35,75,24,8.1,7.5
1,8.03,43,70,22.2,25.5
1,2.07,75,239,10.05,9.5
1,1.9,74,151,14.85,11.0
1,6.46,74,138,15.933333333333334,21.0
1,5.67,80,231,28.816666666666666,23.5
1,2.25,95,135,12.65,10.0
1,5.51,168,241,20.416666666666668,20.5
1,4.05,75,170,22.683333333333334,18.0
2,3.99,11,89,31.05,21.5
3,7.0,74,79,28.716666666666665,26.5
1,2.68,74,263,10.266666666666667,10.0
1,12.32,75,195,44.583333333333336,39.0
1,1.9,75,237,7.25,8.0
1,2.51,75,142,12.45,10.5
1,5.5,82,223,33.45,24.0
1,2.1,166,143,8.283333333333333,9.0
1,4.78,255,181,26.116666666666667,20.0
1,3.14,74,239,12.833333333333334,12.0
1,2.45,75,163,18.15,13.0
5,1.07,7,7,5.733333333333333,6.0
1,11.88,49,132,33.416666666666664,36.5
1,1.17,7,7,7.283333333333333,6.5
1,4.29,41,170,24.383333333333333,18.5
1,12.43,95,262,29.366666666666667,36.5
1,6.15,244,236,30.416666666666668,24.0
1,1.18,41,74,8.7,7.0
1,1.39,83,196,9.416666666666666,8.0
1,2.77,260,193,14.966666666666667,12.0
1,2.06,41,239,13.0,10.5
1,4.94,173,53,25.833333333333332,19.0
5,2.13,75,168,13.566666666666666,11.0
2,0.5,82,82,3.9166666666666665,4.5
1,1.06,74,41,6.266666666666667,6.0
1,2.91,166,142,19.483333333333334,14.5
1,5.04,260,48,27.5,20.5
1,2.71,41,119,16.3,13.0
1,2.28,74,43,18.283333333333335,13.0
2,3.37,65,225,34.13333333333333,17.0
1,4.34,75,247,26.766666666666666,19.0
1,14.47,86,35,47.916666666666664,48.0
6,1.02,41,42,4.95,6.0
1,2.6,25,181,21.666666666666668,15.0
1,5.97,74,129,18.75,20.0
4,2.7,166,244,9.75,10.5
1,1.42,75,238,9.333333333333334,8.0
1,1.48,75,74,5.8,7.0
1,3.0,41,244,11.55,12.0
1,0.16,248,248,0.1,17.0
2,14.32,197,159,48.28333333333333,48.0
6,0.73,75,74,3.0166666666666666,4.5
1,1.93,82,56,10.25,8.5
2,0.75,254,254,5.483333333333333,5.5
1,1.79,166,41,10.583333333333334,9.0
1,8.2,82,75,16.066666666666666,23.5
1,2.1,74,238,14.3,11.0
1,1.76,74,166,10.766666666666667,9.0
3,1.4,41,238,7.616666666666666,7.5
1,1.4,75,151,8.15,7.5
1,0.46,74,74,3.7666666666666666,4.5
1,0.63,41,42,5.066666666666666,4.5
1,0.42,95,95,3.85,4.5
1,13.02,226,22,31.833333333333332,39.0
6,1.12,42,42,17.0,11.5
1,4.0,243,168,12.183333333333334,14.0
1,2.24,95,135,11.366666666666667,10.5
1,1.48,74,236,7.083333333333333,7.0
1,3.14,166,24,12.533333333333333,12.0
1,8.06,82,61,29.366666666666667,28.0
1,0.85,41,166,4.916666666666667,5.5
1,0.81,134,134,2.7666666666666666,4.5
1,0.79,74,166,4.95,5.5
1,4.1,244,238,19.1,16.0
1,1.53,74,75,9.816666666666666,8.5
1,1.41,97,33,7.283333333333333,7.5
2,8.0,75,138,14.766666666666667,23.0
2,18.07,42,60,37.7,51.5
1,2.84,74,244,12.466666666666667,11.0
1,11.35,97,138,22.7,33.0
6,1.97,43,239,6.633333333333334,8.0
1,2.55,75,142,17.983333333333334,13.5
1,6.7,25,123,27.833333333333332,24.0
5,2.82,74,262,9.95,10.5
1,1.16,188,257,8.45,7.5
1,0.89,41,74,7.383333333333334,6.5
1,1.0,65,33,10.2,7.5
2,1.34,82,56,8.516666666666667,7.5
1,0.61,41,75,6.483333333333333,6.0
3,6.64,115,156,34.63333333333333,29.5
1,5.87,74,42,39.833333333333336,15.0
1,4.74,152,48,12.65,16.0
2,1.77,166,238,12.133333333333333,9.5
1,4.5,152,236,14.416666666666666,16.0
1,0.35,97,65,2.75,4.0
1,7.02,95,226,26.566666666666666,25.0
2,2.4,166,239,12.866666666666667,11.0
1,5.97,244,50,11.4,18.0
1,5.75,244,142,12.333333333333334,18.0
1,2.61,74,236,14.516666666666667,11.5
1,4.2,97,35,22.583333333333332,17.5
1,1.71,116,166,6.25,7.5
1,26.23,33,200,59.3,74.0
1,5.79,136,213,36.95,24.0
1,0.09,243,243,0.75,2.5
5,0.67,74,42,4.366666666666666,5.0
1,4.22,41,126,20.816666666666666,17.5
1,1.44,97,106,11.933333333333334,9.0
1,3.46,74,239,25.366666666666667,18.0
1,1.9,42,74,7.816666666666666,8.5
1,3.5,181,66,20.733333333333334,15.5
1,1.11,75,263,5.4,6.0
1,2.1,75,141,14.416666666666666,11.0
1,1.62,75,166,9.616666666666667,8.0
5,0.71,75,75,4.933333333333334,5.0
1,1.1,41,151,6.583333333333333,6.5
1,3.17,41,159,21.033333333333335,15.5
1,5.09,37,160,24.65,19.5
1,1.37,74,41,6.733333333333333,7.0
1,8.56,236,138,18.066666666666666,25.0
2,7.12,75,213,20.3,23.0
1,2.84,42,263,18.366666666666667,13.5
1,7.3,130,196,12.983333333333333,21.0
1,0.57,74,41,8.416666666666666,6.5
1,22.51,75,55,45.43333333333333,63.0
1,2.81,97,62,15.683333333333334,12.5
1,0.91,75,75,6.7,6.0
1,0.6,166,166,5.75,5.5
6,1.1,75,236,4.833333333333333,6.0
1,2.56,74,238,11.95,10.5
5,2.02,166,239,8.45,9.0
1,6.48,168,242,15.416666666666666,20.0
1,4.8,244,238,14.533333333333333,17.0
1,5.28,244,126,16.883333333333333,18.5
1,21.19,265,148,80.61666666666666,72.5
1,2.15,42,74,9.916666666666666,9.5
1,4.3,116,59,26.916666666666668,19.0
5,4.69,74,229,11.516666666666667,15.0
1,2.15,41,168,28.466666666666665,17.0
1,0.98,74,41,6.5,6.0
1,5.38,159,213,13.233333333333333,16.5
1,1.93,116,41,13.133333333333333,10.5
1,0.77,130,130,1.7666666666666666,10.0
1,2.8,74,238,14.983333333333333,12.0
1,3.26,74,244,17.566666666666666,14.5
1,1.44,75,74,7.9,7.5
1,1.13,179,7,8.0,7.0
2,1.25,97,97,10.133333333333333,8.0
1,11.1,41,95,21.45,31.5
1,1.58,74,75,8.55,8.0
1,1.38,75,74,4.75,6.5
6,1.03,75,236,3.066666666666667,5.0
1,1.17,25,65,12.483333333333333,9.5
1,13.82,166,209,41.31666666666667,42.0
2,2.52,95,121,8.35,10.0
1,2.06,75,168,8.966666666666667,9.0
1,1.43,95,28,8.116666666666667,7.5
1,2.49,159,74,13.583333333333334,11.5
1,0.2,54,54,0.08333333333333333,45.0
1,1.17,74,41,7.183333333333334,6.5
1,6.17,7,116,16.933333333333334,20.0
1,1.48,166,238,7.166666666666667,7.5
1,1.65,74,166,7.966666666666667,7.5
2,1.69,236,141,13.7,10.0
1,0.91,75,263,8.316666666666666,7.0
2,1.62,196,95,10.583333333333334,8.0
1,2.15,226,129,13.133333333333333,30.0
1,4.55,244,239,9.933333333333334,14.5
1,0.77,41,74,6.333333333333333,6.0
1,1.4,74,263,8.416666666666666,7.5
1,1.77,82,129,15.066666666666666,10.5
1,2.8,244,41,16.55,13.0
1,2.75,65,209,13.516666666666667,11.5
1,0.9,42,42,7.9,7.0
1,1.91,75,262,11.066666666666666,9.5
2,2.48,41,239,13.1,11.0
1,6.81,74,138,14.116666666666667,21.0
1,2.2,130,191,9.466666666666667,9.5
1,10.41,253,143,36.21666666666667,34.0
1,1.06,41,75,5.65,6.0
1,0.9,66,33,3.8,5.0
1,3.32,166,244,14.916666666666666,13.5
1,2.45,168,59,16.016666666666666,12.0
1,7.72,95,98,28.3,27.5
1,14.28,35,117,63.56666666666667,52.0
1,1.74,152,74,12.583333333333334,10.0
1,1.57,75,74,3.8333333333333335,6.0
5,2.59,95,258,15.1,12.5
1,1.13,74,41,7.8,7.0
2,7.77,213,220,27.45,26.5
1,2.91,130,216,15.9,15.0
1,19.13,129,117,60.81666666666667,60.0
1,1.98,74,166,11.383333333333333,9.5
2,1.3,42,74,10.583333333333334,8.5
1,3.68,166,163,17.2,14.5
1,0.19,174,174,1.0166666666666666,3.0
1,3.05,74,237,15.8,13.0
1,2.33,75,237,11.316666666666666,10.5
2,5.82,265,244,15.583333333333334,18.5
1,0.67,95,95,4.483333333333333,5.0
2,3.05,129,7,10.733333333333333,11.0
1,0.94,41,166,5.1,5.5
1,1.89,196,82,14.333333333333334,10.5
1,1.42,43,75,14.8,9.5
3,0.57,74,42,2.85,4.0
1,3.31,166,237,11.866666666666667,12.0
1,5.68,83,142,38.6,24.5
5,2.53,65,225,17.25,12.5
1,1.59,7,146,8.583333333333334,7.5
1,1.32,82,157,7.183333333333334,6.5
1,1.22,147,213,7.766666666666667,7.0
1,2.16,74,166,16.416666666666668,11.5
1,2.4,33,181,14.95,11.5
1,7.31,244,240,11.883333333333333,21.5
1,16.5,145,192,109.58333333333333,70.0
1,8.33,41,79,30.9,28.5
1,0.48,166,152,5.75,5.0
1,2.57,244,166,9.833333333333334,10.0
1,1.54,24,74,10.683333333333334,9.0
1,0.64,75,75,6.016666666666667,5.5
1,1.71,74,42,16.1,11.5
1,1.98,74,166,12.433333333333334,10.5
1,0.63,166,166,4.666666666666667,5.0
1,6.36,179,234,32.61666666666667,26.0
3,2.69,260,7,9.45,11.0
1,2.38,97,37,16.466666666666665,12.0
3,10.6,129,131,30.583333333333332,33.0
1,1.85,74,75,6.15,7.5
1,2.41,41,239,12.383333333333333,11.0
1,0.91,41,42,6.35,6.0
1,18.61,18,197,49.25,58.5
1,1.92,74,75,20.0,13.5
5,1.89,41,263,11.566666666666666,9.5
1,0.84,74,41,5.383333333333334,5.5
2,0.96,166,238,4.333333333333333,5.5
1,0.8,41,151,4.6,5.0
1,1.79,75,237,13.8,10.5
1,4.37,78,213,44.86666666666667,24.5
1,1.77,95,56,11.7,9.5
1,1.41,41,74,12.333333333333334,9.5
1,4.04,42,237,25.666666666666668,19.5
1,4.87,7,129,32.61666666666667,24.0
6,1.08,42,74,6.2,6.0
1,3.26,74,239,14.1,13.0
1,21.77,51,25,69.3,69.0
1,1.58,42,41,8.7,8.5
1,3.66,145,263,12.016666666666667,12.5
1,1.82,33,49,16.466666666666665,11.5
1,2.2,24,43,10.166666666666666,9.5
1,10.87,225,14,75.51666666666667,52.0
1,4.55,65,186,18.116666666666667,16.0
1,1.49,74,75,9.733333333333333,8.0
2,1.9,166,75,17.466666666666665,12.0
1,5.0,244,239,12.983333333333333,16.0
1,1.84,74,151,8.716666666666667,8.5
1,1.39,74,43,7.516666666666667,7.5
1,1.4,74,43,5.7,6.5
1,2.5,166,168,11.966666666666667,10.5
1,8.53,197,19,27.1,27.5
1,0.93,75,238,3.2,5.0
1,0.79,24,41,7.1,6.5
1,2.34,75,168,9.283333333333333,9.5
1,3.49,75,161,15.816666666666666,13.5
